class,RP,ST,WCIMD,AR,MS,DS,LD,TLC,MDLC,H1LC,CWC,DA,PA,HTTP or HTTPs,OL,IL,IMGL,Backlinks,Traffic,DSX,SMR,CT,WC,RTS,SDMS,SMU,KWURL,QWURL,KWMD,KWT
A,1,5,28,156,94,45,5.8,73,177,67,10553,93,74,1,166,153,4,87,781,35,675,1,15,1,3,1,1,0,1,1
B,2,1,32,5966,83,100,4.7,45,200,45,3193,60,56,1,192,158,6,0,27,14,7939,1,7,1,2,1,1,0,1,1
C,3,3,26,83762,74,90,4,89,299,14,2252,58,46,1,200,173,61,29,1229,40,40293,1,25,0,0,0,1,0,1,0
D,4,3,24,14136,55,70,3.5,46,145,30,4030,80,65,1,129,112,16,1974,16266,40,1217,1,11,1,2,1,0,0,0,0
E,5,3,25,4256,48,98,2.2,56,139,56,2486,59,57,1,162,135,25,672,4260,14,10437,1,7,1,9,1,0,0,1,1
F,6,5,28,156,48,50,2.1,73,177,67,10553,93,74,1,166,153,4,87,781,35,675,1,7,1,3,1,1,0,1,1
G,7,5,26,83762,47,89,1.8,89,299,14,2252,58,46,1,200,173,61,29,1229,40,40293,1,25,0,0,0,1,0,1,1
H,8,5,26,20817,47,76,1.6,56,158,49,1820,57,55,1,112,80,26,10,289,14,31912,1,2,1,1,1,0,0,1,1
I,9,5,20,1209882,46,60,1.3,62,135,4,1660,36,40,1,161,144,4,51,2359,40,152123,1,10,1,7,1,1,0,0,0
J,10,5,24,146875,35,92,1.2,61,145,59,3789,42,51,1,123,105,8,348,3130,14,297634,1,25,1,7,1,1,0,0,1
K,91,5,20,33841,30,44,1.2,66,128,56,1852,80,47,1,252,107,32,257,1334,14,2828,1,11,1,8,1,1,0,0,1
L,92,5,20,138593,27,76,1,66,133,66,1995,46,49,1,142,111,21,17115,5303,14,134946,1,7,1,8,1,1,0,0,0
M,93,5,29,494,26,89,1,151,154,0,4993,92,73,1,0,0,0,6,412,14,941,1,8,1,0,0,0,0,0,0
N,94,5,26,4132,25,92,0.9,58,169,0,740,92,59,1,1,1,0,14,74,40,5548,1,22,1,0,0,0,0,1,1
O,95,5,25,344461,20,19,0.9,47,146,32,2331,53,45,1,442,380,72,38,1075,40,300148,1,9,1,9,1,0,0,0,1
