class,RP,ST,WCIMD,AR,MS,DS,LD,TLC,MDLC,H1LC,CWC,DA,PA,HTTP or HTTPs,OL,IL,IMGL,Backlinks,Traffic,DSX,SMR,CT,WC,RTS,SDMS,SMU,KWURL,QWURL,KWMD,KWT
T,100,5,17,4479,13,34,5.6,14,102,14,961,93,73,1,126,89,9,4,36,14,1146,0,13,1,5,1,0,0,0,0
A,1,5,20,2183987,97,93,0.6,44,139,27,1000,34,37,1,128,109,14,12,15,14,408398,1,21,1,18,1,1,1,1,1
B,2,1,32,188192,92,92,1.1,26,200,26,1262,45,41,1,34,26,8,55,16,14,239851,1,21,1,0,0,1,0,1,0
C,3,5,18,6950,75,81,1.5,57,88,33,1941,82,61,1,96,73,0,260,229,14,3005,1,15,1,7,1,1,0,1,1
D,4,5,22,466,57,79,1.8,50,124,41,2034,91,64,1,174,129,10,71,642,14,2417,1,19,1,0,0,1,0,0,0
E,5,5,80,13474,57,92,1.8,52,477,52,2348,55,43,1,241,227,3,18,289,35,59568,1,21,1,8,1,1,0,0,0
F,6,5,31,41779,52,66,1.8,68,150,0,0,61,55,1,1,1,0,34,8,35,70991,1,21,1,0,0,1,1,0,0
G,7,5,29,756917,47,63,1.9,54,157,38,1074,39,35,1,179,172,4,3,0,13,243046,1,21,1,8,1,1,0,1,1
H,8,5,10,39913,42,93,2,28,80,28,989,80,59,1,76,55,7,4,1,14,17632,1,15,1,0,0,1,1,0,1
I,9,5,35,5789963,36,85,2,43,208,24,1196,13,20,1,87,66,5,1,6,14,1359653,1,21,1,7,1,1,1,1,1
J,10,5,27,12022,34,72,2,61,150,61,1678,50,49,1,92,80,4,114,138,14,7273,1,21,1,4,1,1,0,0,0
K,91,5,23,0,33,76,2.1,58,147,24,2201,12,15,1,63,42,8,1,0,14,58845211,1,21,1,10,1,1,1,1,1
L,92,5,20,116546,32,61,2.6,61,150,0,0,53,51,1,0,0,0,3,26,14,35740,0,21,1,0,0,1,0,0,0
M,93,5,25,6299,25,86,2.9,84,160,67,1285,83,63,1,75,57,6,2,0,14,10968,1,25,1,7,1,1,0,1,1
N,94,5,27,120282,23,88,3,46,152,30,957,67,56,1,124,116,0,17,240,14,63283,1,21,1,0,0,1,1,0,0
O,95,5,26,304317,22,38,7.9,57,163,34,1377,34,42,1,300,264,68,7,33,14,1256873,1,21,1,3,1,1,1,0,0
P,96,5,20,52327,17,67,2.2,135,142,116,9358,62,52,1,282,244,41,30,29,14,20408,1,21,1,0,0,1,0,1,1
Q,97,5,24,460,17,80,1.6,53,144,0,0,93,65,1,0,0,0,8,0,14,828,0,21,1,0,0,1,1,0,0
R,98,5,28,135375,14,58,4.7,29,166,29,3800,55,42,1,446,429,22,0,0,14,160789,1,21,1,13,1,1,0,0,0
S,99,5,25,21456,13,90,2.1,48,152,48,1566,58,57,1,148,126,7,30,124,14,68956,1,21,1,0,0,1,0,1,1
T,100,5,19,2048,98,99,1.2,61,151,0,0,93,73,1,1,1,0,187,123,40,4780,0,9,1,0,0,0,0,1,0
A,1,1,22,26321,94,89,1.3,58,135,0,0,67,43,1,0,0,0,8,3,40,20375,0,9,1,0,0,1,0,1,1
B,2,5,26,19762,72,89,6.7,32,165,0,0,89,70,1,0,0,0,63,121,28,27245,0,9,1,0,0,0,0,1,1
C,3,5,29,1534,61,65,2.4,110,200,44,9137,90,67,1,533,363,37,75,229,14,1981,0,13,1,0,0,0,0,1,1
D,4,5,23,400792,43,93,1.8,54,142,42,1135,34,38,1,132,119,4,2,11,14,634292,1,21,1,0,0,1,1,1,1
E,5,5,27,2713,37,54,3.8,66,156,28,1720,90,59,1,151,108,6,24,40,14,730,1,9,1,5,1,1,0,0,0
F,6,2,29,1534,37,47,2.4,110,200,44,9137,90,67,1,533,363,37,9,17,14,1981,0,13,1,0,0,0,0,1,1
G,7,5,26,19762,34,41,6.7,32,165,0,0,89,70,1,0,0,0,1,0,28,27245,0,9,1,0,0,0,0,1,1
H,8,5,20,323157,30,33,2.5,46,133,46,2206,39,49,1,73,58,10,187,123,35,1867039,1,9,1,14,1,1,0,0,1
I,9,5,19,156,27,23,1,52,210,46,30593,93,74,1,193,180,4,21,0,35,675,1,9,1,0,0,1,0,1,1
J,10,5,19,2048,23,98,0.9,61,150,0,0,93,73,1,1,1,0,67535,5968,40,4780,0,9,1,0,0,0,0,1,0
K,91,5,28,1574772,22,60,3,56,166,0,0,30,31,1,0,0,0,58,77,14,1559648,0,21,1,0,0,1,0,1,1
L,92,5,22,10,18,58,1.4,42,148,18,2473,96,86,1,202,166,14,5,62,14,2,1,5,1,1,1,0,0,0,0
M,93,5,43,342394,17,78,1.8,48,295,37,1321,51,50,1,105,79,11,2,335,14,303105,0,21,1,0,0,1,0,1,1
N,94,5,18,333154,16,59,3.3,71,117,71,1338,24,28,1,169,145,13,0,0,14,649568,1,21,1,11,1,1,1,1,1
O,95,5,18,333303,13,77,3,52,128,52,1927,34,34,1,110,87,10,0,0,14,252898,1,21,1,5,1,1,0,0,0
P,96,5,20,34524,8,39,6.8,64,139,0,0,25,30,0,0,0,0,108,15,30,52530538,0,21,1,0,0,1,0,0,0
Q,97,5,33,13935,7,83,2.3,75,194,0,2579,67,58,1,185,175,22,7,0,14,24015,1,21,1,6,1,1,0,1,1
R,98,5,23,65243,7,88,1.1,44,166,0,0,76,59,1,0,0,0,44,212,17,16796,0,7,1,0,0,1,0,0,1
S,99,5,21,1240,6,67,3,51,147,0,0,93,62,1,1,0,0,1,0,14,1117,0,7,1,0,0,0,0,0,1
T,100,5,14,3342,11,35,3,39,101,38,1902,92,75,1,159,150,11,2,335,14,4800,1,21,1,0,0,1,0,0,0
A,1,5,18,31662,70,92,1,68,126,56,3147,63,59,1,271,239,0,1,49,13,4957,1,3,1,0,0,1,0,0,0
B,2,5,11,31662,67,92,1,67,72,57,1185,63,59,1,228,194,0,1,34,13,4957,1,3,1,0,0,1,0,1,1
C,3,5,28,12487,65,92,1.4,71,173,40,4917,55,49,1,205,70,40,18,1071,14,17534,1,21,1,1,1,0,0,1,0
D,4,5,25,85171,56,82,2.6,69,176,15,486,24,48,1,104,93,0,0,0,41,317591,1,21,1,3,1,1,0,1,1
E,5,3,35,5573,56,80,2.1,49,232,49,2778,58,54,1,250,194,24,201,1309,14,3558,1,21,1,11,1,1,0,1,1
F,6,3,12,77,49,45,5.2,63,89,32,1066,95,87,1,48,35,1,106,6,14,31,1,15,1,5,1,0,0,0,0
G,7,3,11,2875,43,31,1.8,73,77,51,3196,86,62,1,278,239,38,487,3,14,25843,1,27,1,4,1,0,0,0,0
H,8,3,31,1908,41,90,1.6,105,214,98,498,93,55,1,104,81,8,1,0,14,608,1,2,1,9,1,0,0,1,0
I,9,5,24,22980,29,58,6.8,60,144,0,1688,49,47,1,407,392,12,1,5,14,82610,1,19,1,0,0,0,0,0,0
J,10,5,21,1757313,28,52,12.7,61,148,0,0,22,33,1,0,0,0,774,5,14,6931731,0,21,1,0,0,0,0,0,0
K,91,5,18,514,18,28,3.2,31,109,15,380,93,72,1,166,155,9,271,34,14,736,1,21,1,0,0,0,0,0,0
L,92,5,18,1058466,17,45,4,61,148,36,1460,37,48,1,207,203,36,2448,511,14,1624240,1,21,1,5,1,0,0,0,0
M,93,5,21,38046,15,67,9.6,18,150,36,600,54,51,1,175,170,9,0,0,24,214449,0,15,1,0,0,1,0,0,1
N,94,5,24,1570,14,13,5.1,61,155,21,1287,91,71,1,356,348,1,33556,141701,14,2820,0,21,1,0,0,0,0,0,0
O,95,5,9,2543220,13,20,9.3,32,60,55,1030,32,30,1,104,98,30,1135,574,14,1529593,1,21,1,3,1,0,0,0,0
P,96,5,21,281741,11,38,9.5,72,140,72,3438,24,33,1,284,243,30,0,0,14,652692,1,21,1,5,1,1,1,0,0
Q,97,5,23,2312270,8,93,1.1,8,162,19,1185,18,24,0,55,55,20,310,824,14,3991660,0,21,1,0,0,0,0,0,0
R,98,5,20,194258,5,77,0.9,74,123,74,536,49,44,1,96,82,8,0,0,14,77956,1,21,1,7,1,1,0,0,0
S,99,5,24,1537385,4,67,6.9,53,152,49,2148,32,44,1,344,330,7,31,0,14,9900784,1,21,1,0,0,1,1,0,0
T,100,5,43,342394,25,81,1.8,48,295,37,1321,51,50,1,105,79,11,58,77,14,303105,0,21,1,0,0,1,0,1,1
A,1,1,25,129,63,95,1.5,70,160,3,6577,95,80,1,201,147,8,149,537,24,38,1,15,0,0,0,0,0,1,0
B,2,3,25,174258,55,86,2,55,155,5,1472,31,32,1,137,123,22,119,124,22,170260,1,2,1,6,1,1,0,1,1
C,3,3,24,2191,51,82,2,86,146,0,0,93,57,0,1,1,0,92,77,17,826,1,7,1,0,0,1,0,0,1
D,4,3,38,196842,46,76,2.5,67,237,49,4112,65,57,1,211,170,36,119,1146,40,23147,1,2,1,5,1,1,0,1,1
E,5,3,24,1313,45,51,2.8,61,156,61,1182,94,81,1,238,219,25,129,55,13,1340,1,2,1,8,1,1,0,1,1
F,6,2,20,129,43,51,2.8,66,147,3,11573,95,80,1,427,242,6,127,410,24,38,1,13,0,0,0,0,0,0,0
G,7,5,24,191818,34,49,3.2,60,140,60,2802,47,42,1,124,94,6,44,64,14,97573,0,2,1,0,0,0,0,0,0
H,8,5,27,661,32,95,4.1,53,159,36,3363,94,72,1,1,1,8,132,2170,17,150,1,15,1,0,0,1,0,0,1
I,9,5,15,142055,27,79,4.1,47,88,0,955,67,65,1,78,68,11,173,2362,40,16944,0,2,1,0,0,1,1,1,1
J,10,5,11,327002,23,73,4.4,52,66,52,2915,52,42,1,81,53,11,208,1811,40,19411,0,2,1,0,0,1,1,1,1
K,91,5,24,2191,14,49,4.7,86,146,0,0,93,57,0,1,1,0,2,17,17,826,1,7,1,0,0,1,0,0,1
L,92,5,25,8250,14,29,5,88,133,78,2492,84,66,1,341,230,13,202,939,14,742,1,2,1,0,0,0,0,0,0
M,93,5,14,3065,13,40,5,101,109,86,718,92,72,1,112,60,13,20,12,14,228,1,2,1,6,1,0,0,0,0
N,94,5,27,487800,13,82,5.4,35,140,28,1087,52,46,1,142,132,14,438,4914,40,155030,1,2,1,6,1,1,1,1,1
O,95,5,26,36268,9,92,1.2,43,141,43,2461,67,55,1,242,228,2,24,114,40,2091,1,21,1,4,1,1,0,0,0
P,96,5,23,5274,8,64,2.2,110,159,0,6849,90,57,1,394,325,6,2,0,14,1789,1,21,1,0,0,0,0,0,1
Q,97,5,18,3374,6,28,1.5,115,139,0,0,38,45,1,1,0,0,0,0,14,83186,0,21,1,0,0,0,0,0,1
R,98,5,24,934955,5,56,2,96,170,0,0,52,43,1,1,1,0,415,5,40,1360038,0,2,1,0,0,1,0,0,1
S,99,5,25,2832626,9,61,7,55,158,17,1519,62,51,1,73,58,14,34,7,24,2565965,1,15,1,3,1,0,0,1,0
T,100,5,24,4089867,35,45,2.9,59,149,36,2303,22,32,1,150,127,19,23,7,14,567535,1,2,1,17,1,1,0,1,1
A,1,5,29,1313,98,89,3.7,88,183,88,1371,94,81,1,234,203,25,43,68,13,1340,1,25,1,8,1,0,0,1,1
B,2,1,22,174258,79,83,5.8,66,137,5,1861,31,32,1,141,120,21,0,140,22,170260,1,2,1,6,1,1,0,1,1
C,3,3,25,242,65,44,2.9,89,159,51,2751,94,78,1,280,133,31,386,152,14,60,1,15,1,7,1,1,0,1,1
D,4,3,22,324358,58,37,2.3,50,139,32,3687,57,48,1,276,243,24,73,298,14,49737,1,11,1,10,1,0,0,0,0
E,5,2,20,129,49,34,1.8,66,147,3,11573,95,80,1,427,242,6,127,410,24,38,1,15,0,0,0,0,0,0,0
F,6,2,25,129,37,89,1.8,70,160,3,6577,95,80,1,201,147,8,149,537,24,38,1,15,0,0,0,0,0,1,0
G,7,5,23,311736,30,11,8.5,68,138,56,1286,55,43,1,172,116,8,35,148,40,59928,1,2,1,13,1,1,0,1,1
H,8,5,22,128084,27,76,1,66,151,51,1343,67,58,1,144,136,9,35,23,14,31119,1,2,1,1,1,1,0,1,1
I,9,5,18,77,26,44,4.5,66,114,38,4163,95,72,1,79,59,7,204,42,14,31,1,15,1,2,1,1,0,0,1
J,10,5,28,301513,25,76,1.6,67,167,49,1726,60,47,1,52,42,1,460,2724,14,30827,1,2,1,2,1,0,0,0,0
K,91,5,24,4810,15,83,1.1,59,144,33,1276,92,70,1,96,76,2,36,159,14,1791,1,2,1,8,1,1,0,0,1
L,92,5,1,2191,14,98,1,0,0,0,0,93,62,1,0,0,0,4,0,17,NULL,0,7,1,0,0,0,0,0,0
M,93,5,50,1166,11,34,2.1,86,317,75,997,93,75,1,124,87,5,176,98,11,1212,1,15,1,6,1,1,0,1,1
N,94,5,26,112376,8,75,1.6,60,160,0,0,60,56,1,0,0,0,36,37,17,23609,0,15,1,0,0,0,0,0,0
O,95,5,39,94,6,28,3.2,79,195,34,2122,95,81,1,124,105,25,60,374,14,123,1,2,1,5,1,1,0,1,1
P,96,5,24,2598,97,99,2.9,130,140,0,0,93,74,1,0,0,0,11686,0,14,862,1,15,1,0,0,1,0,1,0
Q,97,5,31,150910,6,14,3.9,87,185,30,2885,67,47,1,153,118,15,214,653,40,17016,1,15,1,5,1,0,0,0,0
R,98,5,24,85,6,17,4.4,77,157,4,2538,93,73,1,160,120,5,103,1,14,28,1,11,1,7,1,0,0,0,0
S,99,5,59,85341,21,63,2,101,318,41,1917,68,47,1,151,130,30,43,31,14,10135,0,2,1,6,1,1,1,1,1
T,100,5,29,11417,34,89,1.8,32,160,0,0,87,69,1,1,1,0,85,57,14,2597,1,2,1,0,0,0,0,1,0
A,1,5,20,826,66,96,5.3,54,137,43,1945,93,77,1,205,123,31,134,196,14,208,1,15,1,8,1,1,0,1,1
B,2,1,16,174258,66,69,5.2,67,127,5,2234,31,32,1,146,118,22,0,0,22,170260,1,2,1,6,1,1,0,1,1
C,3,3,31,411780,54,68,1.9,44,167,30,881,41,44,1,118,78,38,3,209,14,113965,1,2,1,0,0,1,1,1,1
D,4,3,15,993,36,37,5.1,103,78,67,2542,94,78,1,294,274,1,57,106,13,333,1,2,1,7,1,1,0,1,1
E,5,3,64,4278,34,96,1.7,178,419,0,1891,93,75,1,260,251,5,895,458,14,1651,1,21,1,0,0,0,0,1,1
F,6,5,20,826,32,39,5.3,54,137,43,1945,93,77,1,205,123,31,24,227,14,208,1,15,1,8,1,1,0,1,1
G,7,5,17,4230,27,89,1.4,90,91,41,766,88,57,1,99,82,5,14,202,17,1426,1,7,1,1,1,1,1,0,1
H,8,5,58,1498,22,32,5,92,376,84,1359,94,79,1,196,110,24,13,176,14,426,1,2,1,6,1,1,0,1,1
I,9,5,8,20075,22,56,3.9,61,44,61,1088,62,54,1,263,236,34,22,77,14,2370,1,2,1,10,1,1,1,0,1
J,10,5,16,10665,20,23,5.1,56,107,67,1137,78,62,1,232,178,37,0,0,14,1597,1,2,1,9,1,1,0,1,1
K,91,5,28,148,18,58,2.5,90,175,0,0,94,96,1,1,1,0,0,0,14,7,1,24,1,0,0,0,0,1,1
L,92,2,28,1541181,18,41,2.6,33,152,33,646,24,31,1,129,118,8,6,0,13,4143545,1,2,0,9,1,1,1,1,1
M,93,5,13,3233,16,78,5.3,65,78,51,716,90,72,1,1,1,9,13,3,14,482,1,2,1,1,1,1,0,1,1
N,94,5,24,152177,13,61,3.7,53,143,33,2091,50,42,1,324,293,20,0,0,40,149820,1,2,1,12,1,1,0,1,1
O,95,5,25,3382,13,53,2.7,87,142,0,0,91,64,1,0,0,0,2,0,14,3862,1,2,1,0,0,0,0,0,0
P,96,5,25,8839,12,83,0.9,54,172,32,986,79,64,1,144,87,23,179,1126,14,11178,1,2,1,5,1,0,0,1,1
Q,97,5,25,1069504,12,62,5.2,41,142,28,2049,53,40,1,154,106,19,0,0,14,114612,1,15,1,9,1,1,0,1,1
R,98,5,14,481110,11,52,2.7,51,82,36,1306,47,43,1,1,1,2,0,1,14,168462,1,15,1,0,0,1,0,1,1
S,99,5,26,1142322,10,39,5.1,46,158,0,0,50,46,0,0,0,0,2,0,17,334614,0,7,1,0,0,0,0,1,1
T,100,5,21,1245160,48,89,1.5,58,132,58,930,55,28,1,23,83,114,0,0,41,1130481,1,2,1,13,1,1,0,1,1
A,1,5,26,13,87,96,1,31,160,19,22399,98,89,1,6409,5687,3,1319,33791,40,1,1,28,1,3,1,1,0,1,1
B,2,3,18,1348,58,16,1.3,50,96,0,0,94,77,1,0,0,0,177,0,14,236,1,2,1,0,0,1,1,1,1
C,3,3,13,24336,56,77,1.3,44,71,34,3327,80,53,1,170,115,17,98,5203,35,1938,1,2,1,6,1,1,0,0,0
D,4,3,75,6294,52,19,2.1,59,296,59,2516,82,56,1,275,246,43,459,1551,14,5560,1,2,1,0,0,1,0,1,1
E,5,3,27,837945,40,94,2.2,65,138,41,3444,24,29,1,174,145,50,866,3472,14,309233,1,2,1,16,1,1,0,1,1
F,6,2,25,13,39,99,2.4,46,140,34,3550,98,89,1,1024,882,4,456,595,40,1,1,28,1,3,1,1,1,1,1
G,7,5,9,11400,38,76,3.1,48,58,32,6817,90,66,1,1124,1082,25,227660,93824,14,3931,1,2,1,2,1,1,0,1,1
H,8,5,13,24336,28,81,3.4,44,71,34,3327,80,53,1,170,115,17,756,24202,35,1938,1,2,1,6,1,1,0,1,1
I,9,5,12,2223,28,42,3.4,100,77,86,5007,88,64,1,212,145,32,882,0,14,387,1,2,1,6,1,1,0,1,1
J,10,5,19,2223,23,39,3.8,58,105,0,0,88,64,1,1,0,0,3587,0,14,387,1,2,1,0,0,1,0,1,1
K,91,5,11,1609,21,41,5.6,39,64,0,0,91,71,1,1,0,0,171,1998,14,107,0,2,1,0,0,1,0,1,1
L,92,5,18,1415,19,41,5.6,54,112,40,1809,88,63,1,141,74,19,8330,11679,14,285,1,2,1,6,1,1,1,1,1
M,93,5,26,776,19,14,2.9,59,142,0,511,93,72,1,143,77,7,77,114,14,185,1,21,1,2,1,1,1,0,1
N,94,5,28,7013,19,65,5.1,74,154,54,3690,86,60,1,186,115,51,29,278,14,5195,1,2,1,6,1,1,0,0,1
O,95,5,21,33786,18,56,2.4,56,113,52,2222,53,51,1,140,84,2,237,0,26,817758,1,2,1,0,0,0,0,1,1
P,96,5,25,8204,15,42,2,53,275,48,19034,88,60,1,631,96,134,6201,32948,14,3020,1,2,1,6,1,1,1,1,1
Q,97,5,14,4102,11,44,1.2,41,80,23,19363,92,67,1,707,410,192,261021,425747,14,1559,1,2,1,5,1,1,1,1,1
R,98,5,44,757080,8,37,3.5,21,282,0,1398,78,56,1,118,56,28,29,156,14,25516,1,2,1,5,1,0,0,1,0
S,99,5,29,73047,2,56,3.9,77,144,45,5357,45,44,1,538,315,202,436,3236,20,277781,1,15,1,6,1,1,0,0,1
T,100,5,9,22495,79,97,2.1,41,48,21,1263,84,62,1,125,88,6,29,278,9,12899,0,21,1,1,1,1,0,1,1
A,1,2,30,13,76,96,0.8,51,167,39,9585,98,89,1,7559,7455,4,6468,32691,40,1,1,28,1,3,1,1,1,1,1
B,2,3,13,1348,58,89,0.8,50,74,0,0,94,77,1,0,0,0,3388,5437,14,236,1,2,1,0,0,1,1,1,1
C,3,3,30,45284,56,77,1.5,44,169,35,740,74,57,1,204,186,50,1508,0,14,41782,1,2,1,6,1,1,1,0,0
D,4,3,27,242,56,19,1.5,74,147,57,6997,94,78,1,408,151,66,1925,43848,14,60,1,15,1,7,1,1,1,0,1
E,5,3,18,1348,40,94,1.8,50,96,0,0,94,77,1,0,0,0,177,0,14,236,1,2,1,0,0,1,1,0,1
F,6,5,26,13,39,45,2.4,46,162,34,268,98,89,1,80,60,4,19,54,40,1,1,28,1,3,1,1,1,1,0
G,7,5,27,242,38,76,3.2,74,147,57,6997,94,78,1,408,151,66,272,0,14,60,1,15,1,7,1,1,1,1,1
H,8,5,46,295,34,81,3.2,116,293,39,13475,89,44,1,5046,4484,115,4493,20832,14,117,1,2,1,0,0,1,1,1,1
I,9,5,10,670,28,42,3.2,41,51,27,25196,93,74,1,405,376,109,3,0,14,204,1,2,1,0,0,1,1,1,1
J,10,5,30,126737,28,39,3.7,62,167,0,0,29,36,1,0,1,0,895,3489,14,53270,0,2,1,0,0,1,1,1,1
K,91,5,88,1681,23,41,4.4,57,522,44,3620,93,77,1,74,25,7,574,1473,14,963,1,25,1,6,1,0,0,0,0
L,92,5,29,4212,21,41,4.8,87,147,68,3999,91,70,1,125,103,12,692,4098,40,1352,1,2,1,10,1,1,0,1,1
M,93,5,20,103247,19,14,4.8,47,133,0,0,80,58,1,0,0,0,179,1126,14,26560,1,2,1,0,0,0,1,0,0
N,94,5,25,1069504,19,65,4.6,41,142,28,2049,53,40,1,154,106,19,1,0,14,114612,1,2,1,9,1,1,0,1,1
O,95,5,26,124815,19,56,2,84,150,39,10752,54,47,1,4824,4699,3,161,116,14,444900,0,2,1,0,0,1,1,1,1
P,96,5,21,2564,18,42,2.4,62,120,46,3147,92,63,1,139,58,1,0,0,14,651,1,7,1,6,1,1,1,1,1
Q,97,5,1,3727,11,44,3.8,0,0,0,0,90,43,1,0,0,0,371,0,17,1357,0,7,1,0,0,1,0,0,0
R,98,5,19,8988,8,37,3.4,43,97,43,922,85,63,1,84,62,16,70,584,14,2894,0,2,1,0,0,1,0,0,0
S,99,5,27,24168,2,56,2.8,39,150,19,3049,73,61,1,314,244,45,71,484,14,11131,1,2,1,15,1,1,1,0,0
T,100,5,30,14689,67,89,1.5,61,159,47,1861,38,36,1,1231,95,29,43,233,14,823165,1,2,1,13,1,1,0,1,1
A,1,5,7,16804,75,87,1.4,59,45,45,1149,79,59,1,147,136,5,8,6,14,16124,1,2,1,5,1,1,1,1,1
B,2,1,37,21304,34,76,1.5,44,194,37,653,89,65,1,114,102,0,0,0,40,4650,1,7,1,0,0,0,0,0,0
C,3,3,13,1540,34,76,1.8,63,65,16,2069,93,74,1,270,259,26,29,5,14,375,1,8,1,0,0,1,0,0,1
D,4,3,20,586208,23,76,1.8,63,138,52,2121,27,36,1,102,88,8,68,224,14,1063618,1,21,1,9,1,1,1,1,1
E,5,3,24,682130,45,76,2.1,73,140,73,3237,45,49,1,151,135,26,676,0,14,1713211,0,21,1,3,1,1,1,0,1
F,6,3,25,713517,34,75,2.1,48,166,0,0,35,39,0,1,1,0,1416,497,17,390313,1,7,1,0,0,1,0,0,1
G,7,5,15,1265355,35,76,2.2,53,89,39,1626,25,32,0,121,108,21,1,0,26,1275779,1,7,1,5,1,1,0,1,1
H,8,5,24,173172,45,65,2.4,70,153,41,827,59,55,1,37,35,3,0,0,14,138281,1,2,1,0,0,1,1,0,1
I,9,5,59,3020026,34,42,2.4,60,338,0,660,51,39,1,35,30,2,0,0,40,874428,1,15,1,0,0,1,1,0,1
J,10,5,20,37864,65,39,3,81,148,0,0,64,49,1,0,0,0,40,0,14,17815,1,2,1,0,0,1,1,1,1
K,91,5,37,21304,58,41,3.1,106,194,0,0,89,65,1,0,0,0,8,6,40,4650,1,7,1,0,0,0,0,0,0
L,92,5,13,1540,28,65,3.1,63,65,0,0,93,74,1,0,0,0,0,0,14,375,1,21,1,0,0,1,0,0,1
M,93,5,20,586208,34,56,5.9,63,139,0,0,27,36,1,0,0,0,29,5,14,1063618,1,21,1,0,0,1,1,1,1
N,94,5,24,682130,34,76,5.9,73,140,0,0,45,49,1,0,0,0,68,224,14,1713211,0,21,1,0,0,1,1,0,1
O,95,5,25,713517,28,56,3.1,48,166,0,0,35,39,0,0,0,0,676,0,17,390313,1,7,1,0,0,1,0,0,1
P,96,5,7,16804,19,42,2.2,59,45,0,0,79,59,1,0,0,0,1416,497,14,16124,1,2,1,0,0,1,1,1,1
Q,97,5,15,1265355,23,44,3.1,53,89,0,0,25,32,0,0,0,0,1,0,26,1275779,1,7,0,0,0,1,0,1,1
R,98,5,24,173172,23,45,1.5,152,153,0,0,59,55,1,0,0,0,0,0,14,138281,1,2,1,0,0,1,1,0,1
S,99,5,59,3020026,21,56,1.4,60,344,0,0,51,39,1,0,0,0,0,0,40,874428,1,15,1,0,0,1,1,0,1
T,100,5,20,37864,14,65,3,81,148,0,0,64,49,1,0,0,0,40,0,14,17815,1,7,1,0,0,1,1,1,1
A,1,3,30,150138,63,86,1.7,67,155,51,3212,50,52,1,197,166,16,234,8851,17,19554,0,7,1,7,1,0,1,1,1
B,2,3,34,94,45,76,1.7,107,200,50,1063,95,81,1,135,114,31,4,158,14,123,1,2,1,4,1,1,1,0,0
C,3,3,6,2157,54,65,1.7,61,33,0,1046,92,73,1,123,85,8,64,382,14,1121,1,2,1,3,1,1,1,0,0
D,4,3,25,242,52,51,2.6,63,140,45,1511,94,78,1,256,122,25,166,2199,14,60,1,15,1,7,1,0,0,0,0
E,5,2,32,192,51,45,2.7,57,211,41,1746,87,71,1,157,115,5,122,5422,14,13,1,10,1,4,1,0,1,0,0
F,6,5,34,94,45,54,3,107,200,50,1063,95,81,1,135,114,31,2338,2754,14,123,1,2,1,4,1,1,1,0,0
G,7,5,24,4587,43,95,3.4,114,138,79,5364,92,64,1,165,94,14,7,296,14,822,1,21,1,5,1,1,1,0,0
H,8,5,22,14580,35,79,3.7,63,141,21,1568,71,63,1,191,165,11,176,1013,14,6811,1,21,1,8,1,1,1,0,0
I,9,5,27,15530,34,73,3.8,82,143,72,2043,76,60,1,176,118,32,154,316,14,3380,1,21,1,14,1,0,1,0,0
J,10,5,12,134095,32,64,3.8,55,79,25,2188,61,53,1,124,117,4,1414,567,14,14106,1,21,1,0,0,1,0,1,0
K,91,5,25,25551,27,61,4,63,178,0,0,80,65,1,0,0,0,1,0,40,13083,0,9,1,0,0,1,0,1,1
L,92,5,19,82603,23,56,4.6,38,119,38,1655,60,47,1,201,195,11,2783,86470,38,132642,1,21,1,4,1,1,0,0,1
M,93,5,20,270,17,51,7,39,132,28,1319,92,72,1,163,150,6,54,4,14,60,1,21,1,0,0,1,0,1,1
N,94,5,21,51743,14,36,3.9,60,148,52,4028,51,49,1,191,134,34,227,7,14,53597,1,21,1,12,1,1,0,1,1
O,95,5,24,2275,13,45,3.8,46,130,0,0,91,73,1,0,0,0,22,182,14,844,1,21,1,0,0,1,1,0,1
P,96,5,24,19762,16,40,6.9,32,165,32,2418,89,70,1,145,145,11,678,45,28,27245,1,21,1,0,0,1,0,1,1
Q,97,5,21,2048,34,34,1.3,43,145,15,697,93,73,1,71,57,8,669,25,40,4780,0,9,1,0,0,0,0,0,1
R,98,5,29,206536,23,45,3.2,55,168,0,0,69,56,1,0,0,0,125,26,40,62721,0,21,1,0,0,1,0,0,0
S,99,5,23,2392,8,29,1.7,70,139,70,2385,88,66,1,1,1,10,6688,256,14,4266,1,21,1,8,1,0,0,0,0
T,100,5,17,4397,11,28,3.1,45,116,28,1150,69,61,1,238,226,7,4,158,14,13178,1,21,1,0,0,0,0,0,0
A,1,1,25,716851,63,86,1.5,50,144,33,1411,11,29,1,192,163,25,0,0,26,381704,0,7,1,5,1,1,0,1,1
B,2,5,24,1348,45,76,1.1,72,141,0,0,94,77,1,0,0,0,109,66,14,236,1,21,1,0,0,1,0,1,0
C,3,5,17,4132,54,65,1.2,67,99,44,1377,92,73,1,157,128,34,29,31,40,5730,1,21,1,1,1,1,1,0,0
D,4,3,24,254599,52,51,1.9,64,144,48,1362,34,45,1,128,92,10,1316,18,14,563572,1,21,1,6,1,1,1,1,1
E,5,3,18,2157,51,45,2.7,69,92,0,924,92,73,1,125,86,8,16,14,14,1121,1,13,1,3,1,1,0,0,0
F,6,3,27,2481,45,54,3.1,67,166,56,1192,90,66,1,152,139,38,4,34,11,4579,1,15,1,5,1,1,1,0,0
G,7,3,31,263174,43,95,3.5,88,198,50,661,64,52,1,140,121,8,8,30,40,61914,1,21,1,5,1,0,0,0,0
